2699.1	0.00080794								
2698.5	0.00084585								
2697.8	0.00087504								
2697.1	0.00089586								
2696.5	0.00090892								
2695.8	0.00091501								
2695.1	0.00091506								
2694.5	0.00091014								
2693.8	0.00090136								
2693.2	0.00088988								
2692.5	0.00087681								
2691.8	0.00086318								
2691.2	0.00084995								
2690.5	0.00083787								
2689.8	0.00082755								
2689.2	0.00081938								
2688.5	0.00081354								
2687.8	0.00080997								
2687.2	0.00080842								
2686.5	0.00080840								
2685.8	0.00080926								
2685.2	0.00081019								
2684.5	0.00081026								
2683.9	0.00080848								
2683.2	0.00080382								
2682.5	0.00079528								
2681.8	0.00078192								
2681.2	0.00076292								
2680.5	0.00073764								
2679.9	0.00070563								
2679.2	0.00066664								
2678.5	0.00062071								
2677.9	0.00056813								
2677.2	0.00050948								
2676.5	0.00044556								
2675.9	0.00037746								
2675.2	0.00030646								
2674.5	0.00023404								
2673.9	0.00016181								
2673.2	9.1456e-05								
2672.5	2.4709e-05								
2671.9	-3.6734e-05								
2671.2	-9.1258e-05								
2670.6	-0.00013741								
2669.9	-0.00017390								
2669.2	-0.00019974								
2668.6	-0.00021418								
2667.9	-0.00021683								
2667.2	-0.00020763								
2666.6	-0.00018687								
2665.9	-0.00015522								
2665.2	-0.00011367								
2664.6	-6.3531e-05								
2663.9	-6.4100e-06								
2663.2	5.5865e-05								
2662.6	0.00012128								
2661.9	0.00018770								
2661.2	0.00025295								
2660.6	0.00031486								
2659.9	0.00037136								
2659.3	0.00042052								
2658.6	0.00046065								
2657.9	0.00049034								
2657.3	0.00050851								
2656.6	0.00051443								
2655.9	0.00050779								
2655.3	0.00048870								
2654.6	0.00045766								
2653.9	0.00041559								
2653.3	0.00036379								
2652.6	0.00030392								
2651.9	0.00023790								
2651.3	0.00016792								
2650.6	9.6343e-05								
2650.0	2.5605e-05								
2649.3	-4.1809e-05								
2648.6	-0.00010349								
2648.0	-0.00015714								
2647.3	-0.00020067								
2646.6	-0.00023228								
2646.0	-0.00025049								
2645.3	-0.00025421								
2644.6	-0.00024276								
2644.0	-0.00021592								
2643.3	-0.00017393								
2642.6	-0.00011751								
2642.0	-4.7806e-05								
2641.3	3.3601e-05								
2640.6	0.00012476								
2640.0	0.00022339								
2639.3	0.00032691								
2638.6	0.00043259								
2638.0	0.00053753								
2637.3	0.00063882								
2636.7	0.00073357								
2636.0	0.00081901								
2635.3	0.00089256								
2634.7	0.00095192								
2634.0	0.00099510								
2633.3	0.0010200								
2632.7	0.0010300								
2632.0	0.0010100								
2631.3	0.00098123								
2630.7	0.00092897								
2630.0	0.00085807								
2629.3	0.00076982								
2628.7	0.00066597								
2628.0	0.00054870								
2627.4	0.00042051								
2626.7	0.00028424								
2626.0	0.00014296								
2625.4	-1.0805e-07								
2624.7	-0.00014164								
2624.0	-0.00027830								
2623.4	-0.00040682								
2622.7	-0.00052408								
2622.0	-0.00062714								
2621.4	-0.00071337								
2620.7	-0.00078046								
2620.0	-0.00082648								
2619.4	-0.00084993								
2618.7	-0.00084977								
2618.0	-0.00082545								
2617.4	-0.00077688								
2616.7	-0.00070446								
2616.1	-0.00060910								
2615.4	-0.00049211								
2614.7	-0.00035526								
2614.1	-0.00020068								
2613.4	-3.0839e-05								
2612.7	0.00015151								
2612.1	0.00034342								
2611.4	0.00054175								
2610.7	0.00074330								
2610.1	0.00094483								
2609.4	0.0011400								
2608.7	0.0013400								
2608.1	0.0015200								
2607.4	0.0016900								
2606.8	0.0018500								
2606.1	0.0019900								
2605.4	0.0021100								
2604.7	0.0022100								
2604.1	0.0022900								
2603.4	0.0023500								
2602.8	0.0023900								
2602.1	0.0024000								
2601.4	0.0024000								
2600.8	0.0023800								
2600.1	0.0023300								
2599.4	0.0022700								
2598.8	0.0022000								
2598.1	0.0021100								
2597.4	0.0020100								
2596.8	0.0019000								
2596.1	0.0017900								
2595.4	0.0016700								
2594.8	0.0015500								
2594.1	0.0014200								
2593.5	0.0013000								
2592.8	0.0011900								
2592.1	0.0010700								
2591.5	0.00096690								
2590.8	0.00086815								
2590.1	0.00077732								
2589.5	0.00069481								
2588.8	0.00062075								
